Name,Sx,Sy,Sz,Ex,Ey,Ez,Trend,Plunge,Length
BD_lineament_measurements.0.2 on 59->064,526322.5739974976,3574780.180000305,1088.1999969482422,526322.6770019531,3574780.228996277,1088.0080032348633,64.56103515625,59.28540802001953,0.22332064807415009
BD_lineament_measurements.0.2 on -46->249,526322.919998169,3574779.946998596,1087.6600036621094,526322.7890014648,3574779.899002075,1087.8089981079102,249.87742614746094,-46.882328033447266,0.20411552488803864
BD_lineament_measurements.0.5 on 56->047,526324.5579986572,3574779.7620010376,1089.5559997558594,526324.7590026855,3574779.9489974976,1089.1399993896484,47.06759262084961,56.57746887207031,0.49842411279678345
BD_lineament_measurements.0.4 on 67->056,526324.3840026855,3574780.5469970703,1090.4329986572266,526324.5210037231,3574780.6370010376,1090.0289993286133,56.696754455566406,67.91539001464844,0.4359879195690155
BD_lineament_measurements.0.5 on 61->057,526323.891998291,3574781.0709991455,1090.5780029296875,526324.0930023193,3574781.1999969482,1090.1370010375977,57.308982849121094,61.56099319458008,0.5015233755111694
BD_lineament_measurements.0.3 on 73->072,526325.8939971924,3574780.027999878,1091.109001159668,526325.9720001221,3574780.053001404,1090.8249969482422,72.22828674316406,73.9115219116211,0.29558065533638
BD_lineament_measurements.0.8 on 69->058,526318.68699646,3574784.5149993896,1087.281997680664,526318.9130020142,3574784.65599823,1086.5559997558594,58.04106140136719,69.85101318359375,0.7733253836631775
BD_lineament_measurements.0.3 on 62->063,526319.4280014038,3574784.1569976807,1087.0400009155273,526319.5439987183,3574784.213996887,1086.795997619629,63.83124542236328,62.09046173095703,0.2761193513870239
BD_lineament_measurements.0.1 on 77->057,526320.0729980469,3574783.8239974976,1086.2969970703125,526320.0999984741,3574783.841003418,1086.1579971313477,57.79568099975586,77.07086181640625,0.14261558651924133
BD_lineament_measurements.0.1 on 82->056,526317.172996521,3574785.771003723,1087.9240036010742,526317.1849975586,3574785.7789993286,1087.8170013427734,56.326751708984375,82.32452392578125,0.10796961188316345
BD_lineament_measurements.0.5 on 75->039,526316.93699646,3574785.714996338,1087.2330017089844,526317.0100021362,3574785.803001404,1086.7839965820312,39.677818298339844,75.71260833740234,0.4633360803127289
BD_lineament_measurements.0.4 on 76->005,526318.40599823,3574785.0299987793,1087.4820022583008,526318.4140014648,3574785.1119995117,1087.1389999389648,5.574387073516846,76.49324035644531,0.3527587950229645
BD_lineament_measurements.0.6 on 65->062,526326.6689987183,3574777.266998291,1088.2789993286133,526326.8899993896,3574777.3840026855,1087.7409973144531,62.10190963745117,65.07105255126953,0.5932769179344177
BD_lineament_measurements.0.3 on 71->019,526326.65599823,3574777.1579971313,1088.6389999389648,526326.6849975586,3574777.238998413,1088.379997253418,19.697914123535156,71.62448120117188,0.27291858196258545
BD_lineament_measurements.0.2 on 87->104,526329.0939941406,3574776.4049987793,1088.261001586914,526329.1020050049,3574776.402999878,1088.0550003051758,104.01056671142578,87.70482635498047,0.20616666972637177
